Run at: 20260106-115238
Location: lat=39.9522, lng=-75.1932
Radius: 5.0 miles
Coverage: standard
Grid points: 69
Types: doctor, medical_clinic, hospital
Nearby calls: 138
Details calls: 198
Unique places: 198

PlaceID	Name	Address	Phone	Website
ChIJRdiPau3FxokRQ3hlnwqLQws	Rothman Orthopaedics	1 Crescent Dr Suite 401, Philadelphia, PA 19112, USA	(800) 321-9999	https://rothmanortho.com/locations/south-philadelphia?utm_source=Yext&utm_medium=SearchEngine&y_source=1_MTM3MDc5MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
ChIJuUI9NNzaxokR4IsYbpxVK_4	Tiny Tooth Co. and Trindade Orthodontics	776 Grove Rd, West Deptford, NJ 08086, USA	(856) 848-2211	http://www.tinytoothcompany.com/
ChIJGzBsuQnGxokRsXKzwZh-jv0	Methodist Hospital-Jefferson: Athas Deena M MD	2301 S Broad St, Philadelphia, PA 19148, USA	(215) 952-9000	
ChIJny72m-rHxokRGFJBuf9EZ_o	Dermatology Partners - South Philly	1930 S Broad St Suite 21, Philadelphia, PA 19145, USA	(215) 463-3939	http://www.dermpartners.com/
ChIJKTBzOZfFxokRFlELyCBbUeo	Vincera Institute	1200 Constitution Ave #110, Philadelphia, PA 19112, USA	(267) 592-3200	https://vincerainstitute.com/
ChIJIYRLrr_CxokRU1Tw9nBqy6s	Premier Orthopaedics in Ridley Park	1 Bartol Ave # 100, Ridley Park, PA 19078, USA	(610) 521-8970	http://www.premierortho.com/?utm_source=GMBSocialClimb&utm_medium=PremierOrthopaedicsinRidleyPark
ChIJVTlS9MXDxokRQ29Z15z9upI	Aspen Dental - Springfield, PA	104 Baltimore Pike, Springfield, PA 19064, USA	(610) 605-2835	https://www.aspendental.com/dentist/pa/springfield/104-baltimore-pike?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=Springfield,PA-Springfield_PA-4226&utm_content=listing
ChIJrdsR0A_GxokRoasGzAAK0nY	Philadelphia Eye Associates	1930 S Broad St Ground Floor, Unit 9, Philadelphia, PA 19145, USA	(215) 339-8100	https://www.phillyeye.com/
ChIJgbZAtA7GxokRV0s_H2oaf-g	AFC Urgent Care South Philly	1444 W Passyunk Ave, Philadelphia, PA 19145, USA	(215) 964-9250	https://www.afcurgentcare.com/south-philly/?utm_source=gmb&utm_medium=organic&utm_campaign=afc-south-philadelphia
ChIJMXI4tWDBxokRzlJGPbhSEDI	NovaCare Rehabilitation - Lansdowne	20-30 W Baltimore Ave, Lansdowne, PA 19050, USA	(610) 626-0080	https://www.novacare.com/contact/find-a-location/pa/lansdowne/lansdowne/?ty=xt
ChIJU-rpiUzCxokRaUjWkfb3mOo	Excelsia Injury Care Glenolden	901 W Ashland Ave, Glenolden, PA 19036, USA	(610) 461-6522	https://www.excelsiainjurycare.com/location/glenolden
ChIJT6kmJeLFxokRh-YQNVXXRxc	Oral Surgery Consultants of Pennsylvania	2546 S Broad St, Philadelphia, PA 19145, USA	(215) 463-4141	http://www.oralsurgerypa.com/
ChIJA84p3A7GxokRKNTOWMjMKo4	Mercy LIFE Broad Street	1930 S Broad St, Philadelphia, PA 19145, USA	(215) 339-4400	https://www.mercylife.org/
